Area code,Area name,ifr
E10000029,Suffolk,0.01
E10000027,Somerset,0.01
E10000017,Lancashire,0.01
E08000034,Kirklees,0.01
E08000024,Sunderland,0.01
E08000023,South Tyneside,0.01
E08000007,Stockport,0.01
E06000057,Northumberland,0.01
E06000049,Cheshire East,0.01
E06000011,East Riding of Yorkshire,0.01
E10000003,Cambridgeshire,0.01
E09000032,Wandsworth,0.01
E09000028,Southwark,0.01
E09000023,Lewisham,0.01
E09000022,Lambeth,0.01
E09000019,Islington,0.01
E09000015,Harrow,0.01
E09000014,Haringey,0.01
E09000013,Hammersmith and Fulham,0.01
E09000008,Croydon,0.01
E09000007,Camden,0.01
E09000006,Bromley,0.01
E09000003,Barnet,0.01
E08000026,Coventry,0.01
E08000013,St. Helens,0.01
E08000012,Liverpool,0.01
E08000009,Trafford,0.01
E06000044,Portsmouth,0.01
E06000032,Luton,0.01
E06000027,Torbay,0.01
E06000022,Bath and North East Somerset,0.01
E06000020,Telford and Wrekin,0.01
E06000017,Rutland,0.01
E06000015,Derby,0.01
E06000012,North East Lincolnshire,0.01
E06000008,Blackburn with Darwen,0.01
E06000007,Warrington,0.01
E06000005,Darlington,0.01
E06000003,Redcar and Cleveland,0.01
E06000002,Middlesbrough,0.01
E10000032,West Sussex,0.01
E09000033,Westminster,0.01
E09000030,Tower Hamlets,0.01
E09000020,Kensington and Chelsea,0.01
E09000017,Hillingdon,0.01
E08000019,Sheffield,0.01
E06000059,Dorset,0.01
E06000037,West Berkshire,0.01
E06000033,Southend-on-Sea,0.01
E06000031,Peterborough,0.01
E06000006,Halton,0.01
E09000021,Kingston upon Thames,0.01
E09000018,Hounslow,0.01
E06000058,"Bournemouth, Christchurch and Poole",0.01
E06000056,Central Bedfordshire,0.01
E06000041,Wokingham,0.01
E06000040,Windsor and Maidenhead,0.01
E06000036,Bracknell Forest,0.01
E06000013,North Lincolnshire,0.01
E06000001,Hartlepool,0.01
E09000012,Hackney,0.01
E08000022,North Tyneside,0.01
E08000017,Doncaster,0.01
E06000055,Bedford,0.01
E06000030,Swindon,0.01
E09000027,Richmond upon Thames,0.01
E09000010,Enfield,0.01
E06000046,Isle of Wight,0.01
E06000034,Thurrock,0.01
E09000025,Newham,0.01
E09000002,Barking and Dagenham,0.01
E08000033,Calderdale,0.01
E08000031,Wolverhampton,0.01
E08000030,Walsall,0.01
E06000042,Milton Keynes,0.01
E06000026,Plymouth,0.01
E06000024,North Somerset,0.01
E08000008,Tameside,0.01
E06000052,Cornwall and Isles of Scilly,0.01
E06000025,South Gloucestershire,0.01
E06000043,Brighton and Hove,0.01
E09000026,Redbridge,0.01
E09000024,Merton,0.01
E09000016,Havering,0.01
E06000016,Leicester,0.01
E10000021,Northamptonshire,0.01
E06000018,Nottingham,0.01
E09000001,City of London,0.01
E06000019,"Herefordshire, County of",0.01
E06000014,York,0.01
E08000037,Gateshead,0.01
E06000009,Blackpool,0.01
E06000010,"Kingston upon Hull, City of",0.01
E08000011,Knowsley,0.01
E08000005,Rochdale,0.01
E10000008,Devon,0.01
E08000001,Bolton,0.01
E06000050,Cheshire West and Chester,0.01
E08000016,Barnsley,0.01
E08000010,Wigan,0.01
E08000002,Bury,0.01
E06000021,Stoke-on-Trent,0.01
E08000036,Wakefield,0.01
E08000015,Wirral,0.01
E06000038,Reading,0.01
E06000004,Stockton-on-Tees,0.01
E08000029,Solihull,0.01
E08000014,Sefton,0.01
E06000039,Slough,0.01
E06000035,Medway,0.01
E08000004,Oldham,0.01
E06000054,Wiltshire,0.01
E06000045,Southampton,0.01
E10000011,East Sussex,0.01
E08000035,Leeds,0.01
E08000018,Rotherham,0.01
E10000020,Norfolk,0.01
E10000006,Cumbria,0.01
E09000004,Bexley,0.01
E06000047,County Durham,0.01
E06000023,"Bristol, City of",0.01
E10000034,Worcestershire,0.01
E10000031,Warwickshire,0.01
E10000023,North Yorkshire,0.01
E10000018,Leicestershire,0.01
E08000027,Dudley,0.01
E10000025,Oxfordshire,0.01
E09000031,Waltham Forest,0.01
E08000006,Salford,0.01
E10000028,Staffordshire,0.01
E08000003,Manchester,0.01
E10000024,Nottinghamshire,0.01
E08000021,Newcastle upon Tyne,0.01
E10000019,Lincolnshire,0.01
E10000013,Gloucestershire,0.01
E10000012,Essex,0.01
E09000029,Sutton,0.01
E08000025,Birmingham,0.01
E06000051,Shropshire,0.01
E10000016,Kent,0.01
E10000014,Hampshire,0.01
E10000007,Derbyshire,0.01
E10000002,Buckinghamshire,0.01
E09000009,Ealing,0.01
E09000005,Brent,0.01
E09000011,Greenwich,0.01
E08000032,Bradford,0.01
E10000030,Surrey,0.01
E10000015,Hertfordshire,0.01
E08000028,Sandwell,0.01
